Id,Nombre,Orden,Logo,LogoFuente
1,Frente Amplio,1,fa.png,https://es.m.wikipedia.org/wiki/Archivo:LOGO_FRENTEAMPLIO.png
2,Fuerza Popular,2,fp.png,https://es.wikipedia.org/wiki/Fuerza_Popular
3,Juntos por el Perú,3,jp.png,https://en.wikipedia.org/wiki/File:Logo_juntos_por_el_Peru.svg
4,Perú Patria Segura,4,perupatriasegura.png,https://es.wikipedia.org/wiki/Per%C3%BA_Patria_Segura
5,Todos por el Perú,5,todosporelperu.png,https://es.wikipedia.org/wiki/Todos_por_el_Per%C3%BA
6,Alianza para el Progreso,6,app.png,https://es.wikipedia.org/wiki/Alianza_para_el_Progreso_(Per%C3%BA)
7,Partido Morado,7,pm.png,https://es.wikipedia.org/wiki/Partido_Morado
8,Acción Popular,8,ap.jpg,https://accionpopular.com.pe/
9,Avanza País,9,avanzapais.jpg,https://es.wikipedia.org/wiki/Avanza_Pa%C3%ADs_-_Partido_de_Integraci%C3%B3n_Social
10,Renacimiento Unido Nacional,10,runa.png,https://partidoruna.com/
11,Podemos Perú,11,podemosperu,https://podemosperu.pe/
12,Unión por el Perú,12,upp.png,https://es.wikipedia.org/wiki/Uni%C3%B3n_por_el_Per%C3%BA
13,Partido Democrático Somos Perú,13,somosperu.jpg,https://en.m.wikipedia.org/wiki/File:Partido_Democr%C3%A1tico_Somos_Per%C3%BA.jpg
14,Democracia Directa,14,democraciadirecta.png,https://es.wikipedia.org/wiki/Partido_Democracia_Directa
15,Partido Aprista Peruano,15,apra.png,http://www.apra.org.pe/
16,Perú Nación,16,perunacion.png,https://en.wikipedia.org/wiki/File:Logo_Peru_nacion.svg
17,Frente Popular Agrícola del Perú (Frepap),17,frepap.jpg,https://en.wikipedia.org/wiki/Agricultural_People%27s_Front_of_Peru
18,Partido Político Contigo,18,contigo.jpg,http://www.partidocontigo.pe/
19,Partido Político Nacional Perú Libre,19,perulibre.png,https://www.facebook.com/Partido-Pol%C3%ADtico-Nacional-Per%C3%BA-Libre-Fuerza-Nacida-Del-Pueblo-978415292267628/
20,Vamos Perú,20,vamosperu.png,https://commons.wikimedia.org/wiki/File:Logo_vamos_Peru.svg
21,Solidaridad Nacional,21,solidaridad.png,https://solidaridadnacional.pe/
22,Partido Popular Cristiano,22,ppc.png,http://ppc.pe/
,,,,
,,,                    ,                      
